,Unnamed: 0,Unnamed: 0.1,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,text
56,56,56,1082976008331055104,2019-01-09 12:22:55,1,MirrorPolitics,72666,"London, UK",Theresa May faces three-day deadline to come up with a Brexit 'plan B'
57,57,57,1082976007852838912,2019-01-09 12:22:55,264,IanSluggy40,743,North West England,"RT @JuliaHB1: So the claims about chaos after a No Deal Brexit are just the usual scare-mongering then? Well, fancy that!"
58,58,58,1082976004119908357,2019-01-09 12:22:54,3,JuanitaMolanoM,120,"Ottawa, Ontario","RT @PhilippeLagasse: The UK Parliament's dilemma: MPs have a negative power to condemn the government and prevent legislation from passing,…"
59,59,59,1082976003381739520,2019-01-09 12:22:54,1,cmwheatley56,1633,"Brent, London",RT @GreenwichLibDem: Members of Greenwich Lib Dems will be in #Thamesmead this Saturday as part of this cross-party/non-party political eve…
60,60,60,1082976002941349890,2019-01-09 12:22:54,0,info_geoquono,6843,"England, United Kingdom",Link:
61,61,61,1082976002702303232,2019-01-09 12:22:54,10,NJWatson23,344,"Boylestone, England",RT @SkyNews: 'Politicians and the media should be able to go about their work without harassment' - Theresa May condemns recent threats aga…
62,62,62,1082976002077274112,2019-01-09 12:22:54,2,novassalme,587,,RT @SocialM85897394: @DavidJoBrexit John Bercow must be sacked. He's a remainer abusing his position of power to overturn the vote of 17.4…
63,63,63,1082975997992017920,2019-01-09 12:22:53,74,PFr1end,1487,,"RT @skisidjames: Tory members need to start making a stand against MPs trying to derail Brexit &amp; begin deselection of MPs like Grieve, Soub…"
64,64,64,1082975997375303680,2019-01-09 12:22:53,627,kanegilbertt,338,,RT @BrendanChilton: 🇪🇺 is protectionism 🇪🇺 is the migrant crisis 🇪🇺 is anti-democracy 🇪🇺 is militarism 🇪🇺 is bureaucracy 🇪🇺is profits over…
65,65,65,1082975996876410885,2019-01-09 12:22:53,0,meghanetinsley,110,"Manchester, England",‘Both main parties are where they are on Brexit for the same reason Trump wants his wall: to shut people out.’
66,66,66,1082975995748065281,2019-01-09 12:22:52,75,WillGilley,55,"Brentwood, Essex","RT @paulmasonnews: On Brexit, Labour must watch the polls, trust the members and ignore the Morning Star - my @NewStatesman column just out…"
67,67,67,1082975995269992448,2019-01-09 12:22:52,227,at60935012,144,,RT @RichardBurgon: Only Labour can secure a new deal with Europe and a new deal for the 99% under attack from cruel Tory policies. Labour’…
68,68,68,1082975994879840258,2019-01-09 12:22:52,14,Priest_12,25,Mars. ,RT @Independent: Theresa May to face PMQs for first time in 2019 as vote on her Brexit deal looms
69,69,69,1082975992761716737,2019-01-09 12:22:52,0,BelieveintheU,512,London ,@sandypuke @BBCr4today @BBCPolitics Why would you come to that conclusion? I want my Parliament to be sovereign. I…
70,70,70,1082975991981592576,2019-01-09 12:22:51,0,JohnSydenham,139,UK,@journosooz @bpolitics .@GregClarkMP is a stooge for the European Movement's Bilderberg Group. We cannot believe hi…
71,71,71,1082975991100788738,2019-01-09 12:22:51,0,DarkRobinRising,122,Driving Mars Curiosity,"@Sandanista @BBCPolitics Calm down, it's only #Brexit #politicslive"
72,72,72,1082975990488489984,2019-01-09 12:22:51,0,euronews,312236,Europe,Watch live: British PM takes Prime Minister's Questions before #Brexit debates
73,73,73,1082975988160581632,2019-01-09 12:22:50,428,bcomininvisible,8013,"In my bed, tweeting",RT @ChukaUmunna: BREAKING Dominic Grieve has tabled an amendment (I’m a signatory) to the #Brexit debate starting today so when the PM’s Pl…
74,74,74,1082975987586031616,2019-01-09 12:22:50,3,petedigger,703,"Wimbledon, UK",RT @PolhomeEditor: Briefing note to Labour MPs says the party is proposing “a sensible Brexit”. Why did no one else think of that?
75,75,75,1082975986675798016,2019-01-09 12:22:50,9,ladyguru1,253,Edinburgh,RT @TommySheppard: To say the best way to avoid no deal is to back Teresa May’s terrible deal is glib nonsense that has soured this debate…
